Sanity checks (N: expected (s,r) → got (s,r)):
  N=3: expected (2, 5) → got (2, 5) ✅
  N=5: expected (1, 3) → got (1, 4) ❌
  N=7: expected (5, 11) → got (5, 11) ✅
  N=27: expected (41, 70) → got (41, 70) ✅
Verifying N = 2 to 1,000,000,000
Progress (every 500,000 pairs):

  N=  71,000,000  |  same-T: 36,225,219  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  71,500,000  |  same-T: 36,485,484  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  72,000,000  |  same-T: 36,742,535  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  72,500,000  |  same-T: 37,001,567  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  73,000,000  |  same-T: 37,258,386  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  73,500,000  |  same-T: 37,517,137  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  74,000,000  |  same-T: 37,773,113  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  74,500,000  |  same-T: 38,033,800  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  75,000,000  |  same-T: 38,292,159  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  75,500,000  |  same-T: 38,553,780  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  76,000,000  |  same-T: 38,810,123  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  76,500,000  |  same-T: 39,069,703  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  77,000,000  |  same-T: 39,326,661  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  77,500,000  |  same-T: 39,586,375  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  78,000,000  |  same-T: 39,842,518  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  78,500,000  |  same-T: 40,101,703  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  79,000,000  |  same-T: 40,359,492  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  79,500,000  |  same-T: 40,621,681  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  80,000,000  |  same-T: 40,881,385  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  80,500,000  |  same-T: 41,140,586  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  81,000,000  |  same-T: 41,398,029  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  81,500,000  |  same-T: 41,658,323  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  82,000,000  |  same-T: 41,914,439  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  82,500,000  |  same-T: 42,172,427  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  83,000,000  |  same-T: 42,431,394  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  83,500,000  |  same-T: 42,687,779  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  84,000,000  |  same-T: 42,949,094  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  84,500,000  |  same-T: 43,208,366  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  85,000,000  |  same-T: 43,469,953  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  85,500,000  |  same-T: 43,726,603  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  86,000,000  |  same-T: 43,985,991  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  86,500,000  |  same-T: 44,243,046  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  87,000,000  |  same-T: 44,503,494  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  87,500,000  |  same-T: 44,761,136  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  88,000,000  |  same-T: 45,017,258  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  88,500,000  |  same-T: 45,278,284  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  89,000,000  |  same-T: 45,537,550  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  89,500,000  |  same-T: 45,800,712  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  90,000,000  |  same-T: 46,059,127  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  90,500,000  |  same-T: 46,317,960  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  91,000,000  |  same-T: 46,576,582  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  91,500,000  |  same-T: 46,834,851  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  92,000,000  |  same-T: 47,094,535  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  92,500,000  |  same-T: 47,351,345  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  93,000,000  |  same-T: 47,611,255  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  93,500,000  |  same-T: 47,870,401  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  94,000,000  |  same-T: 48,128,850  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  94,500,000  |  same-T: 48,390,690  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  95,000,000  |  same-T: 48,650,658  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  95,500,000  |  same-T: 48,912,325  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  96,000,000  |  same-T: 49,168,896  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  96,500,000  |  same-T: 49,429,586  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  97,000,000  |  same-T: 49,687,449  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  97,500,000  |  same-T: 49,944,246  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  98,000,000  |  same-T: 50,205,357  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  98,500,000  |  same-T: 50,463,111  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  99,000,000  |  same-T: 50,719,894  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N=  99,500,000  |  same-T: 50,982,130  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 100,000,000  |  same-T: 51,242,281  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 100,500,000  |  same-T: 51,504,765  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 101,000,000  |  same-T: 51,762,606  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 101,500,000  |  same-T: 52,021,693  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 102,000,000  |  same-T: 52,282,357  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 102,500,000  |  same-T: 52,538,959  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 103,000,000  |  same-T: 52,801,093  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 103,500,000  |  same-T: 53,059,425  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 104,000,000  |  same-T: 53,316,604  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 104,500,000  |  same-T: 53,575,755  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 105,000,000  |  same-T: 53,836,609  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 105,500,000  |  same-T: 54,094,409  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 106,000,000  |  same-T: 54,358,795  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 106,500,000  |  same-T: 54,617,998  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 107,000,000  |  same-T: 54,877,867  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 107,500,000  |  same-T: 55,139,881  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 108,000,000  |  same-T: 55,397,142  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 108,500,000  |  same-T: 55,658,623  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 109,000,000  |  same-T: 55,916,527  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 109,500,000  |  same-T: 56,174,122  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 110,000,000  |  same-T: 56,433,205  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 110,500,000  |  same-T: 56,692,278  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 111,000,000  |  same-T: 56,949,822  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 111,500,000  |  same-T: 57,210,925  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 112,000,000  |  same-T: 57,471,932  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 112,500,000  |  same-T: 57,732,556  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 113,000,000  |  same-T: 57,994,925  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 113,500,000  |  same-T: 58,253,591  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 114,000,000  |  same-T: 58,511,645  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 114,500,000  |  same-T: 58,772,017  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 115,000,000  |  same-T: 59,030,728  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 115,500,000  |  same-T: 59,288,989  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 116,000,000  |  same-T: 59,550,585  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 116,500,000  |  same-T: 59,809,263  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 117,000,000  |  same-T: 60,066,261  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
  N= 117,500,000  |  same-T: 60,325,650  |  S1 violations: 0  |  S2 violations: 0  |  S3 violations: 0
