N,Same-T
664500000,348052813
665000000,348319403
665500000,348578305
666000000,348842035
666500000,349108554
667000000,349369835
667500000,349639013
668000000,349903591
668500000,350171900
669000000,350445572
669500000,350710961
670000000,350981421
670500000,351249140
671000000,351512191
671500000,351776468
672000000,352038348
672500000,352301124
673000000,352564980
673500000,352831727
674000000,353101594
674500000,353362519
675000000,353626792
675500000,353890864
676000000,354153900
676500000,354424211
677000000,354685384
677500000,354952426
678000000,355223006
678500000,355488142
679000000,355754546
679500000,356021017
680000000,356282122
680500000,356548794
681000000,356806540
681500000,357071964
682000000,357329982
682500000,357593344
683000000,357861981
683500000,358126163
684000000,358385396
684500000,358647289
685000000,358915614
685500000,359182714
686000000,359456596
686500000,359721223
687000000,359983856
687500000,360246190
688000000,360509872
688500000,360773203
689000000,361035756
689500000,361301005
690000000,361563406
690500000,361822408
691000000,362089050
691500000,362344455
692000000,362609852
692500000,362877106
693000000,363139358
693500000,363398634
694000000,363661167
694500000,363925081
695000000,364196370
695500000,364462164
696000000,364732909
696500000,364999977
697000000,365264808
697500000,365531149
698000000,365794441
698500000,366056286
699000000,366324127
699500000,366590333
700000000,366852379
700500000,367116519
701000000,367373429
701500000,367637969
702000000,367905266
702500000,368165403
703000000,368431859
703500000,368693200
704000000,368959826
704500000,369235778
705000000,369499310
705500000,369769995
706000000,370040727
706500000,370305745
707000000,370570056
707500000,370833774
708000000,371096284
708500000,371361876
709000000,371628200
709500000,371891798
710000000,372164058
710500000,372424715
711000000,372687512
711500000,372951965
712000000,373217264
712500000,373484249
713000000,373748456
713500000,374015187
714000000,374289455
714500000,374556748
715000000,374822706
715500000,375090066
716000000,375355848
716500000,375617114
717000000,375882225
717500000,376140751
718000000,376405444
718500000,376664744
719000000,376928230
719500000,377197375
720000000,377461934
720500000,377721416
721000000,377985252
721500000,378250459
722000000,378516446
722500000,378790634
723000000,379054716
723500000,379317500
724000000,379581523
724500000,379845663
725000000,380109123
725500000,380376884
726000000,380637859
726500000,380902837
727000000,381164074
727500000,381425794
728000000,381690923
728500000,381947491
729000000,382213141
729500000,382480574
730000000,382743147
730500000,383002422
731000000,383264303
731500000,383532910
732000000,383797700
732500000,384075625
733000000,384341587
733500000,384608823
734000000,384873788
734500000,385139193
735000000,385401926
735500000,385664734
736000000,385928888
736500000,386196154
737000000,386458856
737500000,386721435
738000000,386983466
738500000,387240054
739000000,387505370
739500000,387771306
740000000,388032960
740500000,388297976
741000000,388557832
741500000,388822119
742000000,389090293
742500000,389362402
743000000,389627616
743500000,389900053
744000000,390168426
744500000,390432111
745000000,390698866
745500000,390960836
746000000,391225076
746500000,391491839
747000000,391758952
747500000,392022396
748000000,392292789
748500000,392551607
749000000,392814011
749500000,393078660
750000000,393344581
750500000,393612140
751000000,393877780
751500000,394143201
752000000,394412220
752500000,394686942
753000000,394952286
753500000,395222237
754000000,395492669
754500000,395754341
755000000,396018577
755500000,396282701
756000000,396544935
756500000,396807762
757000000,397069919
757500000,397335755
758000000,397607173
758500000,397873742
759000000,398132769
759500000,398397829
760000000,398661993
760500000,398926547
761000000,399195548
761500000,399460459
762000000,399724430
762500000,399994943
763000000,400259975
763500000,400526309
764000000,400793127
764500000,401058058
765000000,401320450
765500000,401589243
766000000,401847213
766500000,402110537
767000000,402372157
767500000,402631930
768000000,402898137
768500000,403165257
769000000,403428921
769500000,403688467
770000000,403951026
770500000,404218510
771000000,404485683
771500000,404762765
772000000,405026718
772500000,405294445
773000000,405558144
773500000,405821334
774000000,406085351
774500000,406349448
775000000,406611533
775500000,406875601
776000000,407142215
776500000,407401767
777000000,407665858
777500000,407927082
778000000,408185024
778500000,408450490
779000000,408718144
779500000,408979989
780000000,409242886
